,Liquidity_Samples
0,0.0005035769124705717
1,0.008206584566676918
2,0.0032558349928375517
3,9.887375940701116e-06
4,1.7030319800711298e-05
5,0.05104029488239777
6,0.00011576774586213588
7,4.41477182578223e-07
8,0.001989543538992126
9,2.0689591641913976e-05
10,0.00014689843728444413
11,0.07867256312213411
12,5.037117275249271e-06
13,7.214282004306945e-05
14,5.763264612012722e-06
15,0.000698687712612528
16,0.0003155416916115261
17,0.0005498327658893208
18,0.0023795641258840053
19,0.15154759731400855
20,0.0090051045837305
21,0.00016005714280856314
22,0.010977519969359683
23,0.0004070829335728243
24,0.00013543155887271383
25,1.2515639093964833e-06
26,0.001003484412802397
27,0.0007621949952368379
28,3.1290430524282145e-05
29,0.0003945839771251319
30,5.158689377574151e-05
31,1.3206264395650386e-05
32,0.0002458153503472399
33,8.464184604272221e-06
34,0.0006657947765801671
35,1.0915834610537393e-06
36,0.002707856062495101
37,0.00018818581506671594
38,9.873895373509792e-06
39,0.5157699732639851
40,0.004826657031702761
41,0.0002736071822516619
42,0.0003450991679611454
43,8.131558915896629e-05
44,3.28628649303079e-05
45,0.0003415797944906844
46,6.495728003194069e-05
47,8.580735042812956e-05
48,5.131944012707156e-05
49,2.929018723395535e-05
50,7.067836174941276e-07
51,0.012144406928827301
52,7.705101860959866e-06
53,6.813984058832187e-06
54,0.0033166292548509296
55,3.777396453242854e-06
56,5.291260037853918e-05
57,4.360413273567656e-05
58,0.00029886656932966545
59,0.002172399317582292
60,4.6393586520490105e-06
61,2.38424669766918e-05
62,1.244550327763439e-05
63,0.0002711127384911199
64,1.0376164616722431e-05
65,0.023758769248451703
66,1.4707032599449652e-06
67,1.765542354286545e-05
68,0.004926308461251344
69,5.050248523942073e-06
70,1.789735725423448e-05
71,0.0005303369634727806
72,2.287952556111381e-07
73,0.0010894678900245387
74,5.660419970875609e-05
75,3.424512212972717e-05
76,0.0017757778579293839
77,9.409698697827343e-06
78,0.00023349995494674006
79,0.012585115468100682
80,2.5154956576686005e-06
81,1.1080711287798523e-06
82,0.09502316342500096
83,0.00011662513636791611
84,0.006669989148525714
85,0.000742067958519267
86,0.0006576390096361779
87,0.0045645689182150714
88,0.0034511923501337576
89,3.757124798648486e-05
90,0.0012024884368720674
91,8.708409955512386e-05
92,3.8235425415222176e-05
93,1.5326556505532112e-05
94,0.0010058138581506186
95,0.0001931595620748767
96,3.2181012958503426e-07
97,3.0876534428132713e-08
98,0.07359416763367081
99,6.302833190051015e-07
100,0.0012139372061481116
101,1.69567117203805e-05
102,0.0005271405628357081
103,0.0004095492119560467
104,0.0004316774656589241
105,0.0019710283969150543
106,0.0006555259454810314
107,0.0005256087537286948
108,0.0009480511305866271
109,0.00017066304729923445
110,0.0001642422546835371
111,6.325459876558991e-05
112,2.213133827869036e-07
113,1.0191903454122323e-05
114,1.3778493396953413e-05
115,2.1923208222233026e-06
116,0.0014901012237109662
117,0.0002164947806814374
118,0.0001781771146338246
119,0.0010258448160912104
120,0.16463195873467065
121,2.2636577197946215e-07
122,0.00016640626291788697
123,4.713931324489063e-06
124,0.00048529833492407236
125,0.0002400544591494131
126,0.006420970910157016
127,0.00019931305805710479
128,0.0014641228080805118
129,4.163623533421893e-05
130,0.0002501827749378953
131,0.6186902383336295
132,5.8961785183868675e-05
133,9.587322475933447e-07
134,1.7472496456725162e-06
135,0.00047640687094715084
136,1.1221642986059891e-05
137,7.263040617911759e-05
138,1.3680352719289825e-05
139,7.590354366057459e-06
140,0.19840413884244024
141,3.389323573740019e-08
142,4.532436485936807e-06
143,7.101981641799822e-05
144,5.761419501578146e-07
145,0.0015786736361561044
146,1.6169488461161547e-05
147,8.525938307620887e-06
148,0.0997634125473396
149,0.0003868006678267584
150,0.00011064755281865053
151,0.00011043622721043529
152,8.59690183375811e-06
153,4.643408175040209e-07
154,0.0002856113410428382
155,0.00030873210932040915
156,0.0001225386926420421
157,1.3177609379501708e-06
158,5.547926556985769e-05
159,0.0004262508020784863
160,7.63377672768218e-05
161,2.138038249842183e-05
162,5.630569532146421e-06
163,2.278640406872167e-05
164,0.001636004646855424
165,0.0010147525397418836
166,1.3708341395611796e-08
167,0.0002265794778239139
168,0.00032003566346289555
169,0.005749417511666617
170,0.0011459079123767224
171,0.0002486541475344972
172,1.0887457512947238e-05
173,1.612179440068612e-05
174,0.0018448992879509616
175,0.005727707424849647
176,6.097529755189287e-05
177,0.00016060377501230636
178,4.316891195295648e-05
179,0.00016222547877712485
180,1.65256351914534e-05
181,1.6297639816555225e-06
182,0.00021228861913938859
183,1.2066228069917614e-05
184,9.189916439624844e-05
185,2.31501705732952e-05
186,5.906892042965077e-05
187,0.006462408521973233
188,3.078663230665084e-05
189,9.676154602976773e-06
190,0.0007042499881680961
191,5.027566447849519
192,3.932464043614307e-06
193,0.0001672145659559451
194,7.240825091159054e-05
195,0.0004519215008996578
196,3.7138711751141757e-06
197,1.3264727061532467e-06
198,0.00016520355528668352
199,0.031237829114628204
200,0.0004688605945410199
201,5.078732234090768e-05
202,3.612100614838799e-05
203,3.36340966506545e-05
204,0.00023320125925498496
205,5.867645918511509e-05
206,0.008026871089941795
207,0.0001665120239696154
208,0.0004746374957854291
209,8.853976262944079e-07
210,6.846504272987475e-05
211,0.002235153591600992
212,2.2542931646999295e-05
213,0.02309186144878014
214,0.0027923672540610418
215,0.0001757540567084241
216,1.0015105235758458e-05
217,1.1928763026274357e-06
218,0.0009034146359977735
219,4.186279957546164e-06
220,0.0012884410209148714
221,0.000812645195444649
222,6.382468453731063e-06
223,0.00030553776754432984
224,0.0015116199864686599
225,8.803676506653799e-05
226,0.001428211539128281
227,1.3956737636171214e-05
228,1.0600912643373123e-05
229,6.153904623748195e-06
230,2.2468689571544408e-06
231,9.463656679711604e-06
232,0.0007892048537509345
233,1.0748129328009874e-05
234,0.0014428700838353483
235,4.580438233691055e-05
236,7.295474792282267e-05
237,6.745930079347603e-06
238,6.564130084902946e-06
239,0.00012777270971046014
240,0.00014204989070120533
241,0.01692458605627114
242,0.00011536257619890559
243,0.003614502896071218
244,0.002253318517882804
245,3.701711413488485e-05
246,0.0018489596156230084
247,0.0042634631794159295
248,0.002752803474374923
249,2.226792632534056e-06
250,9.492366024100759e-07
251,5.986924982328369e-05
252,0.0007989147857675042
253,8.259671397529954e-06
254,3.0458015545974876e-05
255,0.000172571262547461
256,0.0012131614470223431
257,0.004232969433704563
258,0.015168575310046022
259,14.934585409044104
260,2.910974452534034e-06
261,0.00012680041390285087
262,0.001109273123793471
263,1.9871616472346343e-05
264,1.3942936622202544e-06
265,0.00734993930040782
266,0.0010800920284337195
267,9.024780329073569e-07
268,0.0014655163945081968
269,1.3259924058682797e-05
270,4.7111530398598426e-07
271,3.07446498060472e-05
272,3.3407393598470725e-06
273,0.00032663337326641393
274,0.00028865689542671393
275,2.2978781565795145e-05
276,3.0630434994123954e-06
277,4.2064052904238135e-05
278,0.0365276553917187
279,0.04279231141027413
280,0.0022713481104287064
281,0.0008395972487067416
282,9.245123834736822e-07
283,2.3757204802394636e-07
284,5.888748983703654e-06
285,0.046074989045079756
286,0.001488899459690351
287,0.000795819597522725
288,0.0008323456286856817
289,8.593357091869163e-05
290,0.00015076497807213333
291,0.01405573977750159
292,2.8288408677222005e-05
293,6.245951666576943e-05
294,1.246022996734422e-05
295,5.244689136030405e-05
296,0.00018949675745870835
297,7.060648383240916e-05
298,0.00011704870155879036
299,8.248729739511557e-05
300,0.00010164125899788703
301,0.002563674809175609
302,4.107055200502414e-06
303,0.00444428662940848
304,0.00018904468988748376
305,6.474991991291068e-07
306,0.00010485326888345841
307,9.668458781826494e-09
308,0.04336400775016152
309,3.847318065834585e-06
310,0.012770033295631228
311,0.383907136110749
312,0.000629586869462959
313,0.004444035041934009
314,2.976846076308536e-06
315,3.565557264872924e-05
316,0.00010492381246563538
317,0.5408975835123199
318,5.968828635371383e-06
319,1.378545068541658e-05
320,0.0005405112390286672
321,0.006776992470442757
322,1.4591985141298646e-05
323,0.004760434019222752
324,0.012815844117719761
325,3.6749465940683244e-07
326,8.006290919513309e-05
327,1.1080942395503879e-05
328,1.0888231548529448e-06
329,0.036400968739664606
330,7.009804154214416e-06
331,0.004349601892712433
332,0.000394425515669754
333,8.712722297996607e-06
334,0.0006051029353043693
335,0.0017809872645518149
336,1.1029971387237214e-05
337,0.0010406314716334699
338,2.3782138587886034e-05
339,0.002349655233702227
340,6.140653648615395e-06
341,0.00013831804076582262
342,0.0017672873534954755
343,0.0014622890911902785
344,2.0533809430914582e-05
345,0.00011843377331466
346,0.0002167401272752504
347,0.00010385985240545678
348,0.00036531499968825155
349,0.0025709442691072486
350,0.0008046451167671644
351,4.9918885681694325e-05
352,2.355294939112892e-05
353,2.497134163259355e-06
354,1.2273938185422429e-05
355,0.18015328267073294
356,0.0002201122682509195
357,7.372728635044206e-06
358,1.6867488653349036e-05
359,0.0017403341352259627
360,1.2991215732889231e-06
361,1.6472100232227297e-05
362,3.989004412000496e-05
363,0.006816231118093356
364,2.625650255846784e-05
365,8.416709417098188e-06
366,2.6492871104716965e-05
367,0.0003315860020689402
368,5.665342711866587e-05
369,1.6439574752512747e-05
370,2.2605984385138892e-08
371,0.0008226993862696191
372,0.004817115126271434
373,0.004507894358847544
374,0.00045288955095845355
375,0.00012104763805555194
376,1.9188553813270627e-05
377,0.00011005076129047396
378,1.9248292703628103e-06
379,5.29453913918857e-07
380,0.08424639805705471
381,0.04357145311484608
382,2.9108114133050257e-05
383,0.000734464846290306
384,0.00021163392057080922
385,0.0003775565818381385
386,7.308371438856197e-05
387,0.03719982503425888
388,1.1636840967693844e-05
389,0.003254038622882102
390,1.2465348027953882e-05
391,5.083750732560272e-06
392,4.7231548902460935e-05
393,4.8959297367888065e-06
394,1.974368923385539e-05
395,0.00026803357612283096
396,0.0019980920603835527
397,1.2863178154057159e-06
398,0.00014655966536880356
399,0.17271984258466716
400,0.010448006679943254
401,3.7217150941376647e-06
402,0.000666204673333306
403,6.122388333533071e-05
404,0.1993592861750793
