,Ohm_price
0,437.9802301424178
1,214.81473410026666
2,310.4009879425742
3,245.22803899428988
4,764.9100978144678
5,410.86067918921526
6,312.92203885853786
7,1072.002176130585
8,385.4583188777479
9,529.2941537618178
10,341.7682413547344
11,424.6512201729281
12,157.99107963456956
13,118.997972315675
14,438.63095707315716
15,181.6488467729664
16,756.4206043650744
17,320.8567676200872
18,732.3994048749263
19,28.11560940194865
20,191.4471496230198
21,602.2304348950398
22,188.38609495094522
23,326.9717369862855
24,180.73532067366344
25,326.61697120465726
26,413.91863659823827
27,325.1316108366125
28,830.3672202926892
29,556.5247168470622
30,1504.9241245839744
31,452.6778321686663
32,329.6286469133722
33,341.5519061533647
34,241.90439362382955
35,152.37355364982912
36,762.5480947532801
37,45.95889997038867
38,249.46047346480057
39,120.02023899212749
40,125.00059462863797
41,80.42876057254193
42,459.03207004687755
43,539.7845132446337
44,751.2411581993251
45,235.61162157957654
46,367.66301917007
47,737.6306119198832
48,200.8897770807327
49,118.9653661504033
50,9.852751065710777
51,428.6536680488947
52,42.94624692116699
53,147.16538387016462
54,65.81079487249096
55,720.2093344817945
56,265.62319787687153
57,341.203875733496
58,753.6747144918832
59,238.21063930822362
60,1020.4259944838175
61,552.2376993058052
62,242.7586944874124
63,78.88210281989312
64,979.2205871032895
65,12.438410271536291
66,352.03493225407107
67,135.9692395153586
68,293.1754343772178
69,319.54882708976396
70,202.76114984020288
71,361.9575818546302
72,275.048493987547
73,360.0733262070146
74,287.837043255998
75,309.16440608501716
76,252.61206246949922
77,331.1439756830452
78,48.97527863926186
79,42.98651789817679
80,212.23987575769974
81,22.194650099945562
82,128.3967132584329
83,614.7353530166899
84,510.20360204002253
85,727.7467597077302
86,883.844164162565
87,558.0055097764397
88,346.70820861686866
89,134.05549956341204
90,731.9262618695432
91,775.8838485994173
92,245.91934749968584
93,310.2136586441537
94,267.57358813590736
95,226.42893890975685
96,406.9238572620223
97,346.2102801344419
98,247.1044792082844
99,390.3344031175855
100,672.9128002148391
101,676.1139806377705
102,446.4785056023266
103,153.6037505052568
104,286.6842821820796
105,576.7031441495527
