,Buy_Sell_Samples
0,0.0005558847118225628
1,3.5821489689423086e-08
2,8.267331301327184e-05
3,1.375066786084191e-05
4,1.9605055914440822e-05
5,3.1631588148602746e-05
6,0.006461791549584036
7,0.8651678452818973
8,0.0025741765564769015
9,0.0005868518053330732
10,2.1240246471558652e-07
11,5.4818935049410915e-05
12,0.0004522968295650849
13,0.005181870819639359
14,0.00016090487157433253
15,1.082156270864078e-07
16,4.810793053466301e-05
17,0.0062520257036135195
18,2.170484113466417e-06
19,4.2699418977944074e-05
20,0.00013228278106562207
21,3.945264948566334e-07
22,1.520880828165323e-06
23,6.096501008168109e-06
24,7.248587663238983e-06
25,0.0011127741744006844
26,0.00018405737804504352
27,4.513835438896991e-05
28,0.0007235748212814069
29,1.000491730797672e-05
30,0.0004540151297694829
31,0.0006943475129606135
32,1.0324949128243427e-06
33,6.905312257625878e-07
34,4.313282413662965e-05
35,8.826526571618634e-05
36,1.8386850467998885e-05
37,0.0012023313443407535
38,0.0008365717857754419
39,0.008327783687836241
40,0.08510823131773645
41,0.0005532501529570419
42,0.0008720305349830043
43,0.00042183746736674035
44,3.920336177662542e-05
45,0.0005516133905397692
46,0.0020561597783180386
47,0.0049259273894971985
48,0.004184135171906947
49,0.000386161481672993
50,1.7424119533651214e-05
51,1.6327748938966968e-06
52,0.005072107920648069
53,0.005672586233058509
54,4.6409089981208197e-05
55,0.021202742589282637
56,0.040343882751668024
57,8.397038855994381e-05
58,2.9271665602157375e-06
59,0.00676519284993095
60,4.491062481602405e-08
61,1.4459019980588015e-06
62,9.766493743983364e-06
63,0.011432417712676966
64,0.0001895347965222842
65,1.6999392848936823e-05
66,1.8070441593614535e-05
67,3.559681078731636e-07
68,0.0001288056420853638
69,0.002178400735481051
70,1.123234673242859e-05
71,4.114488928685574e-06
72,4.0825210559015176e-07
73,0.00020307358661058607
74,2.2739686999045755e-06
75,8.20415365872782e-09
76,0.0004440540903729245
77,0.0021132184523000946
78,3.6336418848801805e-05
79,0.00012314365848770814
80,1.109746841861553e-05
81,2.3907705073331388e-05
82,6.466330921145494e-07
83,0.0016038428039509313
84,2.7300279362799745e-05
85,1.7043008628336448e-05
86,0.0005268137255895911
87,1.4228698696162963e-05
88,4.963404399161465e-06
89,4.379899598949696e-06
90,9.920095885130196e-05
91,3.211739409348746e-05
92,0.006740313840985652
93,4.273492902700524e-06
94,1.669705997833947e-06
95,2.935677896032097e-05
96,0.01783392801652663
97,0.16058450418703551
98,5.461167482426213e-06
99,0.0003581216038376212
100,0.06589413576238248
101,5.166707617338481e-06
102,1.3183827908295264e-05
103,0.010927363626607666
104,0.004862072343270104
105,2.559132463719048e-05
106,0.0001283812167510474
107,3.0020072776635854e-05
108,0.00017761942807262312
109,0.0005760116096375571
110,1.6089901087161448e-05
111,7.644640409063399e-06
112,9.375367885622013e-07
113,3.877928335826719e-05
114,4.012878577459432e-06
115,8.285099996348991e-06
116,3.600508364134944e-05
117,4.491687598317002e-07
118,0.0001966752848664035
119,0.00012197570619285774
120,0.00481931782191962
121,0.004457468771382212
122,2.413937157634928e-05
123,0.00012424117236558836
124,0.0015522623954950306
125,0.02822721433244819
126,0.0006656699903199522
127,0.0005562364790268674
128,2.5990715629222277e-05
129,7.418732027729462e-05
130,1.274184653307224e-05
131,0.0009314623375256755
132,0.21667943154379735
133,1.4113034669430667e-05
134,0.0003912170099860242
135,2.784401415639481e-05
136,1.4127477362198934e-08
137,8.133467101236346e-07
138,0.011145992986536138
139,0.003444113413920457
140,0.019382879615853974
141,7.099657447957492e-06
142,2.871394880779429e-07
143,6.32468125875984e-06
144,1.302234664986392e-06
145,0.00024797061601077676
146,0.000848385141592818
147,1.6450842432495792e-06
148,0.0002430768798075746
149,0.0001277059110926696
150,6.109782364379508e-06
151,0.00011222464670817588
152,8.14666154154454e-06
153,1.2695156994910495e-06
154,1.076326005683358e-05
155,3.581505966264077e-06
156,7.521610708112881e-05
157,0.0004137659281272581
158,0.0005917486633297146
159,0.0017716656502358699
160,0.0004019194020603103
161,0.026515073581111534
162,1.5461222983372584e-05
163,0.00032801165353765424
164,7.641578972648033e-06
165,0.0009350000200232431
166,0.0005004909213594891
167,2.9078227627171535e-05
168,0.00014473611849707548
169,9.040948098500589e-07
170,0.0007565455462389712
171,2.483314406065565e-05
172,1.506015462234638e-05
173,0.000256679964559759
174,2.9335397123811266e-05
175,9.919812848191306e-06
176,0.0003270470933030491
177,1.0236382238135674e-05
178,9.079222974317306e-06
179,0.0056279879422314475
180,5.516655949041479e-06
181,0.007824633429300065
182,0.01231254957773919
183,0.00011287382463372342
184,3.086277845852287e-05
185,1.5142273340785848e-06
186,8.475667433927177e-06
187,0.007686738200624673
188,7.51199162550408e-05
189,3.227146630000686e-06
190,0.0007808876603175698
191,0.00010053537053566428
192,3.688184565587276e-05
193,0.00018404574330587118
194,0.0003482409139057922
195,3.6503335977307423e-06
196,9.931853102016247e-05
197,0.00011951891992441239
198,0.00021952879415227568
199,5.520435481952015e-05
200,1.2961590581918791e-05
201,2.1316376222377034e-05
202,0.00824785825830368
203,0.00010519364077022054
204,0.0009434584199927388
205,7.556292572644926e-06
206,5.254897445123989e-07
207,3.7237852311605777e-06
208,1.8608211063854205e-06
209,4.7185704772587587e-07
210,8.336696988649185e-05
211,0.00011261664803806808
212,0.011216298350816188
213,0.00035887625072253496
214,0.0017549662804459704
215,8.492504072337673e-05
216,1.4062582933140146e-06
217,0.0003370005216568101
218,1.1187215578641097e-06
219,0.00027377742869244515
220,3.052064820178754e-06
221,0.0007809795240060255
222,1.8861278978252245e-06
223,7.988438836289277e-05
224,0.00013602329606556045
225,0.003910425815749206
226,0.0001673276746437799
227,0.00012383654360182336
228,9.894166433594142e-08
229,2.2387271349800115
230,2.2031003002559606e-05
231,0.017842612188192084
232,0.0012739674578828863
233,1.1138460301662718e-05
234,0.0019986269066273785
235,5.6252593117415414e-05
236,0.0025698473771317413
237,5.965820860718548e-06
238,3.878251896318786e-06
239,0.0005453970369385965
240,9.319332164194047e-05
241,0.0001734511926890839
242,0.0008324336312591977
243,0.00020836735328198658
244,0.003335013280695467
245,1.8306693621375374e-05
246,0.002351553336572666
247,0.0029407321747588664
248,1.4985795244016323e-06
249,7.220983042519627e-06
250,1.5918643512136426e-05
251,0.10140790380683087
252,0.2790716425566081
253,5.664074454867955e-06
254,4.955004111268775e-06
255,4.837524967057945e-06
256,0.0017089631271286398
257,4.7359687905150533e-07
258,0.00015412223188167204
259,0.00024353696105322366
260,3.4541262984940824e-05
261,3.491845850383737e-05
262,1.834392844492015e-06
263,0.0024350108082298854
264,0.001314637730125929
265,0.00017237722103886712
266,0.0004296802331556702
267,8.614082390275193e-06
268,1.3356507547404797e-06
269,0.000307559127021539
270,1.2672655982926134e-05
271,1.524119069925814e-05
272,0.0037236496908733606
273,7.732825485647885e-06
274,1.8711090961657014e-05
275,9.38620854398509e-06
276,1.744800602856684e-07
277,7.956693225487205e-06
278,5.891053162045228e-06
279,2.79726571512431e-07
280,2.404214833007463e-05
281,7.914326829060777e-05
282,2.0949105884869424e-05
283,0.00017556725978892405
284,1.5176757240007581e-05
285,0.00036976754422078976
286,9.401237561647798e-06
287,0.0004396378641771125
288,3.4848677216690104e-05
289,0.0023030687077393976
290,3.5900832568137754e-06
291,2.33684400850195e-06
292,3.4902675548707254e-06
293,1.0121567131530644e-06
294,0.00033945681428538686
295,7.114593877111378e-05
296,0.0001259013666877654
297,0.0035229330528154645
298,0.3515869724098024
299,0.006396591335520603
300,3.086596423005949e-05
301,0.001370884106536991
302,1.7924979135860976e-06
303,5.5503532185094155e-06
304,3.0258208281927503e-05
305,7.948751745582165e-06
306,0.00011731029776539447
307,0.0004460741651171473
308,0.0032396779434378927
309,5.342684872265004e-07
310,1.9001931996235636e-05
311,2.2389808915141413e-06
312,0.00035046289168681304
313,0.000533884961230992
314,1.4498974467191383
315,0.00023592027900982623
316,0.00013150455221375455
317,4.946146574608489e-06
318,0.00020485141675303647
319,0.00016490392365849825
320,8.690075367137514e-07
321,1.4731270073203302e-05
322,5.391412232058741e-06
323,1.8223949947308832e-05
324,0.00016276236324591937
325,0.00025722233042262224
326,0.00024677606704623015
327,0.00984831489070505
328,2.639701007560315e-06
329,4.4241544402481346e-05
330,2.5831565381986654e-06
331,1.0379898840908735e-05
332,5.446676916003519e-05
333,3.3413319536492e-05
334,2.0343146619028243e-06
335,0.0014531541505316162
336,1.918524597992871e-06
337,1.863527794545689e-05
338,3.7730927279859933e-06
339,0.0007836459953885267
340,0.000497012197994023
341,5.921971898376922e-08
342,6.433814586858267e-05
343,7.421106727166843e-07
344,6.003143533680735e-08
345,0.0003079734015219466
346,2.1193161863461367e-05
347,0.0012295952854912864
348,0.0010918124173557012
349,0.0007082917582565976
350,0.0003091410270677018
351,1.1823685049641044e-05
352,7.55283637695979e-05
353,1.6726064392682132e-06
354,0.0010472589578769973
355,0.0010951734854514194
356,1.414284150878644e-05
357,7.554886871972482e-05
358,3.0484210291898307e-07
359,0.008177010047318455
360,0.0002041931473212555
361,3.6205576165666945e-05
362,0.00021862708440004763
363,0.0011297786915782848
364,0.0003693963466315349
365,0.0011933407400176348
366,2.2549212399610446e-05
367,0.009483357851949236
368,7.059606665818169e-08
369,9.989975929657233e-06
370,7.42054931499403e-08
371,1.3253152884770363e-07
372,0.008778167302133443
373,1.258538861914866e-05
374,0.007103185357135485
375,0.00021025172261639462
376,0.003179196731412093
377,3.029187669477196e-05
378,0.00014749990840842202
379,1.0770959566012469e-05
380,0.14401842888682354
381,0.0014875034218817223
382,2.551719362584427e-05
383,4.2750568124785325e-06
384,4.8270917990187604e-06
385,0.0005394115205987297
386,2.297396587409283e-07
387,6.081438430166192e-06
388,2.719115678299666e-05
389,6.843251040826304e-05
390,0.0014063336071488868
391,0.513957244643038
392,0.01464091352374962
393,2.991871264930314e-06
394,4.196963988725434e-05
395,0.0002005696611562268
396,0.00026190103436639193
397,0.0019989110321423213
398,3.520885523631953e-05
399,1.95523583668196e-05
400,0.011396244575974036
401,0.00010583371877756258
402,1.588612789648756e-05
403,4.67546015221454e-06
404,7.109315936954301e-06
405,3.513526677468163e-06
406,0.001559212896932701
407,0.004211398939799526
408,5.179812142331308e-07
409,2.470391572829915e-05
410,0.005282100379581909
411,0.00016815441241599112
412,2.627567465050434e-06
413,0.00046314150072174925
414,0.008383619692630025
415,6.948940805944817e-07
416,3.575217287907383e-05
417,0.0008333924944231777
418,0.0034184839788816133
419,0.001055029073539465
420,4.217527135481725e-07
421,1.6786415896471909e-06
422,9.526549779417292e-07
423,2.4385451618430618e-05
424,0.103955279438032
425,1.46451822001339e-07
426,6.742266041819213e-05
427,4.434135498027004e-05
428,0.018611381167045745
429,3.145245507662226e-05
430,0.06322768487495542
431,7.876139363391165e-06
432,0.0020365115759454285
433,0.0003106191615917962
434,2.860880568164818e-06
435,0.000246181612799803
436,4.096092864687082e-06
437,3.980883193388777e-05
438,0.0007164699075527984
439,0.00015936556898052512
440,2.083676940898795e-05
441,6.528581721898779e-06
442,0.00036733299003019313
443,0.0001807647152731406
444,3.5170511259255904e-06
445,0.0002350421454400107
446,2.4252630822640405e-06
447,4.8624477491451075e-06
448,9.102005453005183e-06
449,0.37900444405272415
450,0.004987476058808433
451,5.801598960419661e-05
452,0.0006185522044467987
453,7.078554969827551e-07
454,1.4368886674240199e-06
455,2.555474239087046e-07
456,6.317745089917307e-07
457,5.10545659372509e-06
458,0.00124390048369286
459,0.0030599646498111212
460,0.00012485130315837507
461,0.00016815631507896954
462,0.0016943118204041506
463,1.0940115692129557e-06
464,3.6907294202698916e-05
465,0.00239324770560233
466,0.00210988027644826
467,1.0994810303572958e-09
468,1.061992449345045e-06
469,1.4944082531926695e-05
470,3.546525964494652e-05
471,0.00010615703478065685
472,0.0073497925096059
473,8.761425346325736e-07
474,1.6052403728244973e-05
475,3.1238691168236734e-08
476,0.0003193703873778818
477,1.1793106936408381e-05
478,0.0013743010270958534
479,0.003964919588314106
480,0.0016554344817159342
481,0.010050271127060483
482,7.265906593365332e-05
483,1.4965674835986396e-05
484,0.00992318266555177
485,1.2699659960208554e-05
486,0.000385894711197083
487,0.00028994384424214665
488,7.1261325730571855e-06
489,4.33949671752813e-05
490,4.1960428204383e-05
491,2.4137008908030655e-06
492,0.002046793113977506
493,0.00030005574952501944
494,0.24279850887736257
495,0.00039797058107610687
496,0.00036989169602303333
497,9.732127906269976e-05
498,0.0236287803123303
499,4.40244416891798e-05
500,8.75950828748777e-06
501,7.320171389728115e-05
502,4.440652150850003e-06
503,4.4156449832327246e-05
504,0.0021310937893104656
