,Eth_price
0,54.78467535965853
1,406.85683860502945
2,235.75376790627107
3,145.38678904542812
4,331.4052931837146
5,454.84727544837784
6,246.04199234230188
7,132.9459226954977
8,369.2257398313495
9,708.2591144291002
10,135.35407041103204
11,547.9669603728446
12,269.1832624976601
13,176.41968248645253
14,301.1748515497231
15,338.44643181111746
16,149.38267024366095
17,249.86308348986702
18,46.688049551078464
19,240.8706377253036
20,503.4411264380662
21,85.27900885452244
22,30.158283345732016
23,202.53272176324842
24,288.0220423453096
25,374.8219414339554
26,695.8426299567994
27,305.05512560357073
28,433.4288503345951
29,93.91899571426708
30,190.2700607868207
31,248.31959180880256
32,283.3202937734516
33,263.8120117241944
34,40.04039274401673
35,91.05555966976772
36,265.1687592063729
37,11.585002845297016
38,337.30400842785025
39,163.94238235917945
40,792.4643985626988
41,68.78835306043082
42,406.9580908309801
43,63.66194093857101
44,45.85225332215149
45,168.57097562464716
46,44.082453821135815
47,199.54692682471355
48,215.20867471989857
49,253.91412003893498
50,154.60233671851321
51,256.02354541890793
52,81.91508236225557
53,102.34615025735573
54,447.5159961034423
55,77.39883827159905
56,912.9867317566508
57,164.27077622964427
58,628.5130578656285
59,234.35448397206855
60,50.34825119478354
61,124.11095649183538
62,199.01851410621944
63,260.8146412574129
64,270.32442903055266
65,229.04959073233633
66,640.6047832033258
67,243.72643271936388
68,54.821980783334865
69,265.1316498143861
70,282.62540236642104
71,368.36457394537615
72,149.2238961256543
73,216.80959570033096
74,25.408747382117095
75,370.14792322487295
76,318.7129296618236
77,322.2981103963225
78,54.146574613024356
79,41.477469754814194
80,531.3739498010365
81,668.226771438991
82,261.72897368341796
83,88.0359944308712
84,103.40388584599387
85,272.33831809230225
86,107.5084867801765
87,658.3241790198509
88,120.17159648264877
89,27.846521386154333
90,82.12798317358751
91,689.095957233148
92,875.3661896444362
93,108.71996245810874
94,30.39668649707445
95,210.29482736214925
96,354.6822994855497
97,566.4843788253186
98,295.18968276870726
99,544.2580330253228
100,190.97740830493478
101,211.94047034143463
102,353.39660544791025
103,499.369544982923
104,199.81131541961494
105,9.726770304013929
106,270.5963935184873
107,274.36517957987525
108,449.2420439203347
109,420.5282456573061
110,371.0255919630533
111,292.7185189284208
112,727.1730633804373
113,578.6972492401907
114,855.4933434309243
115,476.40391538075124
116,120.44878594480394
117,442.04596448803187
118,121.99959868305079
119,192.5133476538799
120,79.08957087477951
121,306.2091865390715
122,14.933914345102142
123,402.45982432458413
124,377.88770523483043
125,52.299762070429445
126,70.2440592903075
127,608.8004719385224
128,653.9516074603549
129,257.3102993130065
